id,book,paragraph,other_title,title,pts-abbr,cscd-abbr
1,1,2,,namakkārapāḷi,Nam,
2,1,159,,namakkāraṭīkā,NamT,
3,2,2,,mahāpaṇāmapāṭha,Mpp,
4,2,428,,tigumbacetiya thomanā,Tgc,
5,2,479,,vāsamālinīkya,Vāsam,
6,3,2,,lakkhaṇāto,Lakkh,
7,4,2,,suttavandanā,Sutv,
8,5,2,,jinālaṅkāra,Jināl,
9,6,2,,kamalāñjali,Kamal,
10,7,2,,pajjamadhu,Pjm,
11,8,2,,buddhaguṇagāthāvalī,Bgg,
12,9,2,,abhidhānappadīpikāṭīkā,AbhpT,
13,10,2,,subodhālaṅkāro,Subodh,
14,11,2,,subodhālaṅkāraṭīkā,SubodhT,
15,12,2,,bālāvatāra,Bālāv,
16,13,2,,moggallānasuttapāṭho,Mogg,
17,13,1105,,moggallānabyākaraṇaṃ,Mogg,
18,14,2,,kaccāyanabyākaraṇaṃ,Kacc,
19,14,715,,mahākaccāyanasaddāpāṭha,Kacc,
20,15,2,,saddanītippakaraṇaṃ (padamālā),Sadd,
21,16,2,,saddanītippakaraṇaṃ (dhātumālā),Sadd,
22,17,2,,padarūpasiddhi,Rūp,
23,18,2,,moggallāna-pañcikā-ṭīkā,MoggPT,
24,19,2,,payogasiddhipāḷi,Payog,
25,20,2,,vuttodayaṃ,Vutt,
26,21,2,,abhidhānappadīpikā,Abhp,
27,22,2,,niruttidīpanīpāṭha,Nirutt,
28,23,2,,paramatthadīpanī,Pmd,
29,24,2,,anudīpanīpāṭha,Anudīp,
30,25,2,,paṭṭhānuddesa dīpanīpāṭha,Paṭṭhud,
31,26,2,,caturārakkhadīpanī,Catur,
32,27,2,,kavidappaṇanīti,Kavid,
33,28,2,,nītimañjarī,Nītim,
34,29,2,,dhammanīti,Dhn,
35,30,2,,mahārahanīti,Mhn,
36,31,2,,lokanīti,Ln,
37,32,2,,suttantanīti,Sutn,
38,32,134,,vasalasutta,Sutn,
39,33,2,,sūrassatīnīti,Sūrn,
40,34,2,,cāṇakyanītipāḷi,Cāṇ,
41,35,2,,naradakkhadīpanī,Narad,
42,36,2,,rasavāhinī,Ras,
43,37,2,,sīmavisodhanī,Sīmav,
44,38,2,,vessantarāgīti,Vessag,
45,39,3,,(saṅgayana-puccha vissajjanā) dīghanikāye,SgyDn,
46,40,3,,(saṅgayana-puccha vissajjanā) majjhimanikāya,SgyMn,
47,41,3,,(saṅgayana-puccha vissajjanā) saṃyuttanikāye,SgySn,
48,42,3,,(saṅgayana-puccha vissajjanā) aṅguttaranikāye,SgyAn,
49,43,2,,(saṅgayana-puccha vissajjanā) vinayapiṭaka,SgyVin,
50,44,2,,(saṅgayana-puccha vissajjanā) abhidhammapiṭaka,SgyAbh,
51,45,2,,(saṅgayana-puccha vissajjanā) aṭṭhakathā,SgyAṭṭh,
52,46,1,,milidaṭīkā,MilT,
53,47,1,,padamañjarī,Padam,
54,48,1,,padasādhanaṃ,Padas,
55,49,1,,saddabindu pakaraṇaṃ,Saddb,
56,50,1,,kaccāyana  dhātu mañjūsā,Dhātum,
57,51,1,,samantakūṭavaṇṇanā,Samantak,
58,52,1,,moggallāna vuttivivaraṇapañcikā.,MoggP,
59,53,1,,thupavaṃsa,Thūp,
60,54,1,,dāṭhāvaṃsa,Dāṭh,
61,55,1,,dhātupāṭha  vilāsiniyā,Dhātup,
62,56,1,,dhātuvaṃsa,Dhātuv,
63,57,1,,hatthavanagallavihāra  vaṃso,Hatth,
64,58,1,,jinacaritaya,Jinac,
